#     Complex Template           SpringScore LenAligned  Dfire  Coverage SeqidA TMscoreA ZscoreA ProbabilityA EvauleA SeqidB TMscoreB ZscoreB ProbabilityB EvauleB
1     11asA/1_0_0-11asA/1_1_1         32.571        654 31.595     1.000  1.000    0.998 155.538 100.000    2.9e-156   1.000  0.995   155.538 100.000    2.9e-156
2     4lnsA/1_0_0-4lnsA/1_1_1         30.491        594 32.367     0.908  0.541    0.848 142.699 100.000      2e-143   0.541  0.848   142.699 100.000      2e-143
3     3m4pC/2_0_0-3m4pC/2_1_1         13.440        555 40.194     0.849  0.239    0.750  22.092 99.920     8.1e-23   0.239  0.753    22.092  99.920     8.1e-23
4     1nnhA/2_0_0-1nnhA/2_1_1         13.262        550 39.103     0.841  0.177    0.745  22.523 99.930       3e-23   0.177  0.745    22.523  99.930       3e-23
5     1wydA/1_0_0-1wydA/1_1_1         13.243        559 39.236     0.855  0.232    0.772  21.886 99.920     1.3e-22   0.235  0.774    21.886  99.920     1.3e-22
6     1b8aA/1_0_0-1b8aA/1_1_1         13.120        570 38.081     0.872  0.251    0.776  22.658 99.930     2.2e-23   0.251  0.776    22.658  99.930     2.2e-23
7     2xtiA/1_0_0-2xtiA/1_1_1         12.962        565 37.601     0.864  0.245    0.767  22.523 99.920       3e-23   0.248  0.758    22.523  99.920       3e-23
8     3a5yA/1_0_0-3a5yA/1_1_1         12.836        534 39.345     0.817  0.180    0.706  19.886 99.890     1.3e-20   0.180  0.711    19.886  99.890     1.3e-20
9     1x54A/1_0_0-1x54A/1_1_1         12.783        570 37.288     0.872  0.245    0.769  21.658 99.920     2.2e-22   0.245  0.769    21.658  99.920     2.2e-22
10    2xgtA/1_0_0-2xgtA/1_1_1         12.618        568 36.167     0.869  0.248    0.766  22.194 99.920     6.4e-23   0.251  0.769    22.194  99.920     6.4e-23
11    1asyA/1_0_2-1asyA/1_1_3         12.220        568 35.509     0.869  0.248    0.780  20.357 99.890     4.4e-21   0.248  0.780    20.357  99.890     4.4e-21
12    3i7fA/1_0_0-3i7fA/1_1_1         11.467        531 32.794     0.812  0.245    0.726  19.959 99.880     1.1e-20   0.245  0.722    19.959  99.880     1.1e-20
13    1e1oA/1_0_0-1e1oA/1_1_1         11.344        544 32.205     0.832  0.266    0.748  19.678 99.870     2.1e-20   0.266  0.748    19.678  99.870     2.1e-20
14    3a74A/1_0_0-3a74A/1_1_1         10.827        546 30.334     0.835  0.263    0.760  18.796 99.860     1.6e-19   0.263  0.760    18.796  99.860     1.6e-19
15    4ex5A/1_0_0-4ex5A/1_1_1         10.712        546 28.715     0.835  0.291    0.752  20.409 99.890     3.9e-21   0.291  0.753    20.409  99.890     3.9e-21
16    3bjuA/1_0_0-3bjuA/1_1_1         10.688        548 28.673     0.838  0.245    0.762  20.237 99.870     5.8e-21   0.239  0.758    20.237  99.870     5.8e-21
17    1eqrA/1_0_0-1eqrA/1_1_3         10.654        558 29.784     0.853  0.269    0.769  18.328 99.840     4.7e-19   0.269  0.769    18.328  99.840     4.7e-19
18    4ah6A/1_0_0-4ah6A/1_1_1         10.559        554 29.376     0.847  0.287    0.757  18.432 99.850     3.7e-19   0.287  0.757    18.432  99.850     3.7e-19
19    1g51A/1_0_0-1g51A/1_1_1         10.296        560 27.631     0.856  0.291    0.765  19.071 99.860     8.5e-20   0.291  0.764    19.071  99.860     8.5e-20
20    4up7A/1_0_0-4up7A/1_1_1         10.163        548 26.917     0.838  0.275    0.763  19.222 99.840       6e-20   0.275  0.763    19.222  99.840       6e-20
21    4o2dA/1_0_0-4o2dA/1_1_1          9.980        558 26.790     0.853  0.291    0.759  18.337 99.850     4.6e-19   0.269  0.752    18.337  99.850     4.6e-19
22    4wj3M/1_0_6-4wj3M/1_1_7          9.744        555 25.383     0.849  0.306    0.761  18.678 99.860     2.1e-19   0.306  0.760    18.678  99.860     2.1e-19
23    4h02A/1_0_0-4h02A/1_1_1          9.536        504 25.970     0.771  0.229    0.696  17.276 99.780     5.3e-18   0.232  0.700    17.276  99.780     5.3e-18
24    4j15A/1_0_0-4j15A/1_1_1          8.779        489 21.936     0.748  0.263    0.670  18.357 99.850     4.4e-19   0.251  0.666    18.357  99.850     4.4e-19
25    1n9wA/1_0_0-1n9wA/1_1_1          8.582        469 20.974     0.717  0.211    0.630  18.886 99.860     1.3e-19   0.242  0.628    18.886  99.860     1.3e-19
26    3bjuB/1_0_1-3bjuB/1_1_3          4.513        547  0.000     0.836  0.239    0.758  20.237 99.870     5.8e-21   0.245  0.760    20.237  99.870     5.8e-21
27    1eqrA/1_0_0-1eqrA/1_1_2          4.232        557  0.000     0.852  0.269    0.769  18.328 99.840     4.7e-19   0.269  0.765    18.328  99.840     4.7e-19
28    1eqrC/1_0_2-1eqrC/1_1_3          4.232        557  0.000     0.852  0.269    0.765  18.328 99.840     4.7e-19   0.269  0.769    18.328  99.840     4.7e-19
DONE
